Imie,Adres,"Imiona dzieci",Dlaczego,Insta,Link,Fb,Link,Blogi,Link,"FB Foto"
ccc,jakub.iwanowski@one-house.pl,,test,on,insta.pl,on,www.fb.pl,,,
"Monika Wosińska",wosinskamonika@gmail.com,,hsthstrhj,on,https://www.instagram.com/,on,https://www.facebook.com/,,,
das,jakub.iwanowski@one-house.pl,,test,on,insta.pl,,,,,
"Justyna Test",test@,,xyz,on,link,,,,,
test,test@test.com,,abcd,on,https://www.instagram.com/officiallittletikes/?hl=pl,,,,,
ccc,fdsf@p.pl,,fsdf,on,dfsf,,,,,
das,dsad@p.p,,dasd,on,insta.pl,,,,,
ccc,dsad@p.p,,fsdf,on,fsdf,,,,,
gfg,fdsf@p.pl,,fsdf,on,fdsf,,,,,
"test 2",test@,,"bo tak",on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,,,,,
sadas,dad@p.pl,,dasd,on,dasdas,,,,,
dadasd,dsad@p.pl,,dsad,on,dsad,,dadsa,,dsda,
"J K",test,,test,,,on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,,,
"Justyna Test",@@@,,"bo tak",,,,,on,inne,
dsadasd,dasds@wp.pl,,dasd,on,dasd,,,,,
dasdsa,jkaub.iwanowski@one-house.pl,,fsfsdf,on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,on,http://littletikes.onehouse.nazwa.pl/download/Regulamin_Program_Ambasadorski_Little_Tikes.pdf,
dsada,dasda@p.pl,,dssf,on,dasda,,,,,
fsdfsd,fsdfs@p.pl,fsdfsd,fsdfsd,on,fsdfds,,,,,
dasda,dsadas@p.pl,fsdfds,fsdfsd,on,fdsfsd,,,,,fdsfsf
